2023,2022,2021,2020,2019,2018,2017,2016,2016-2017
LEVEL1,UNITID,PEO2ISTR,PEO3ISTR,CNTLAFFI,RELAFFIL,LEVEL1,LEVEL1,Match
LEVEL1A,PEO1ISTR,PEO3ISTR,PEO4ISTR,PUBPRIME,LEVEL1,LEVEL2,LEVEL2,Match
LEVEL1B,PEO2ISTR,PEO4ISTR,PEO5ISTR,PUBSECON,LEVEL2,LEVEL3,LEVEL3,Match
LEVEL2,PEO3ISTR,PEO5ISTR,PEO6ISTR,RELAFFIL,LEVEL3,LEVEL4,LEVEL4,Match
LEVEL3,PEO4ISTR,PEO6ISTR,CNTLAFFI,LEVEL1,LEVEL4,LEVEL5,LEVEL5,Match
LEVEL4,PEO5ISTR,CNTLAFFI,PUBPRIME,LEVEL2,LEVEL5,LEVEL6,LEVEL6,Match
LEVEL5,PEO6ISTR,PUBPRIME,PUBSECON,LEVEL3,LEVEL6,LEVEL7,LEVEL7,Match
LEVEL6,PEO7ISTR,PUBSECON,RELAFFIL,LEVEL4,LEVEL7,LEVEL8,LEVEL8,Match
LEVEL7,CNTLAFFI,RELAFFIL,LEVEL1,LEVEL5,LEVEL8,LEVEL12,LEVEL12,Match
LEVEL8,PUBPRIME,LEVEL1,LEVEL1A,LEVEL6,LEVEL12,LEVEL17,LEVEL17,Match
LEVEL12,PUBSECON,LEVEL1A,LEVEL1B,LEVEL7,LEVEL17,LEVEL18,LEVEL18,Match
LEVEL17,RELAFFIL,LEVEL1B,LEVEL2,LEVEL8,LEVEL18,LEVEL19,LEVEL19,Match
LEVEL18,LEVEL1,LEVEL2,LEVEL3,LEVEL12,LEVEL19,CALSYS,CALSYS,Match
LEVEL19,LEVEL1A,LEVEL3,LEVEL4,LEVEL17,CALSYS,FT_UG,FT_UG,Match
CALSYS,LEVEL1B,LEVEL4,LEVEL5,LEVEL18,FT_UG,FT_FTUG,FT_FTUG,Match
FT_UG,LEVEL2,LEVEL5,LEVEL6,LEVEL19,FT_FTUG,FTGDNIDP,FTGDNIDP,Match
FT_FTUG,LEVEL3,LEVEL6,LEVEL7,CALSYS,FTGDNIDP,PT_UG,PT_UG,Match
FTGDNIDP,LEVEL4,LEVEL7,LEVEL8,FT_UG,PT_UG,PT_FTUG,PT_FTUG,Match
PT_UG,LEVEL5,LEVEL8,LEVEL12,FT_FTUG,PT_FTUG,PTGDNIDP,PTGDNIDP,Match
PT_FTUG,LEVEL6,LEVEL12,LEVEL17,FTGDNIDP,PTGDNIDP,DOCPP,DOCPP,Match
PTGDNIDP,LEVEL7,LEVEL17,LEVEL18,PT_UG,DOCPP,DOCPPSP,DOCPPSP,Match
DOCPP,LEVEL8,LEVEL18,LEVEL19,PT_FTUG,DOCPPSP,OPENADMP,OPENADMP,Match
DOCPPSP,LEVEL12,LEVEL19,CALSYS,PTGDNIDP,OPENADMP,VET1,VET1,Match
OPENADMP,LEVEL17,CALSYS,FT_UG,DOCPP,VET1,VET2,VET2,Match
NONCRDT1,LEVEL18,FT_UG,FT_FTUG,DOCPPSP,VET2,VET3,VET3,Match
NONCRDT2,LEVEL19,FT_FTUG,FTGDNIDP,OPENADMP,VET3,VET4,VET4,Match
NONCRDT3,CALSYS,FTGDNIDP,PT_UG,VET1,VET4,VET5,VET5,Match
NONCRDT4,FT_UG,PT_UG,PT_FTUG,VET2,VET5,VET9,VET9,Match
NONCRDT5,FT_FTUG,PT_FTUG,PTGDNIDP,VET3,VET9,CREDITS1,CREDITS1,Match
NONCRDT6,FTGDNIDP,PTGDNIDP,DOCPP,VET4,CREDITS1,CREDITS2,CREDITS2,Match
NONCRDT7,PT_UG,DOCPP,DOCPPSP,VET5,CREDITS2,CREDITS3,CREDITS3,Match
NONCRDT8,PT_FTUG,DOCPPSP,OPENADMP,VET9,CREDITS3,CREDITS4,CREDITS4,Match
NONCRDT9,PTGDNIDP,OPENADMP,VET1,CREDITS1,CREDITS4,SLO5,SLO5,Match
ENRHSST,DOCPP,VET1,VET2,CREDITS2,SLO5,SLO51,SLO51,Match
ENRHSST1,DOCPPSP,VET2,VET3,CREDITS3,SLO51,SLO52,SLO52,Match
ENRHSST2,OPENADMP,VET3,VET4,CREDITS4,SLO52,SLO53,SLO53,Match
VET1,NONCRDT1,VET4,VET5,SLO5,SLO53,SLO6,SLO6,Match
VET2,NONCRDT2,VET5,VET9,SLO51,SLO6,SLO7,SLO7,Match
VET3,NONCRDT3,VET9,CREDITS1,SLO52,SLO7,SLO8,SLO8,Match
VET4,NONCRDT4,CREDITS1,CREDITS2,SLO53,SLO8,SLO81,SLO81,Match
VET5,NONCRDT5,CREDITS2,CREDITS3,SLO6,SLO81,SLO82,SLO82,Match
VET9,NONCRDT6,CREDITS3,CREDITS4,SLO7,SLO82,SLO83,SLO83,Match
CREDITS2,NONCRDT7,CREDITS4,SLO5,SLO8,SLO83,SLO9,SLO9,Match
CREDITS3,NONCRDT8,SLO5,SLO51,SLO81,SLO9,YRSCOLL,YRSCOLL,Match
CREDITS4,NONCRDT9,SLO51,SLO52,SLO82,YRSCOLL,STUSRV1,STUSRV1,Match
SLO5,VET1,SLO52,SLO53,SLO83,STUSRV1,STUSRV2,STUSRV2,Match
SLO51,VET2,SLO53,SLO6,SLO9,STUSRV2,STUSRV3,STUSRV3,Match
SLO52,VET3,SLO6,SLO7,YRSCOLL,STUSRV3,STUSRV4,STUSRV4,Match
SLO521,VET4,SLO7,SLO8,STUSRV1,STUSRV4,STUSRV8,STUSRV8,Match
SLO53,VET5,SLO8,SLO81,STUSRV2,STUSRV8,STUSRV9,STUSRV9,Match
SLO6,VET9,SLO81,SLO82,STUSRV3,STUSRV9,LIBRES1,LIBRES1,Match
SLO7,CREDITS1,SLO82,SLO83,STUSRV4,LIBRES1,LIBRES2,LIBRES2,Match
SLO8,CREDITS2,SLO83,SLO9,STUSRV8,LIBRES2,LIBRES3,LIBRES3,Match
SLO81,CREDITS3,SLO9,YRSCOLL,STUSRV9,LIBRES3,LIBRES4,LIBRES4,Match
SLO82,CREDITS4,YRSCOLL,STUSRV1,LIBRES1,LIBRES4,LIBRES5,LIBRES5,Match
SLO83,SLO5,STUSRV1,STUSRV2,LIBRES2,LIBRES5,LIBRES6,LIBRES6,Match
SLO9,SLO51,STUSRV2,STUSRV3,LIBRES3,LIBRES6,LIBRES9,LIBRES9,Match
SLOA,SLO52,STUSRV3,STUSRV4,LIBRES4,LIBRES9,TUITPL,TUITPL,Match
SLOB,SLO521,STUSRV4,STUSRV8,LIBRES5,TUITPL,TUITPL1,TUITPL1,Match
YRSCOLL,SLO53,STUSRV8,STUSRV9,LIBRES6,TUITPL1,TUITPL2,TUITPL2,Match
STUSRV2,SLO6,STUSRV9,LIBRES1,LIBRES9,TUITPL2,TUITPL3,TUITPL3,Match
STUSRV3,SLO7,LIBRES1,LIBRES2,TUITPL,TUITPL3,TUITPL4,TUITPL4,Match
STUSRV4,SLOA,LIBRES2,LIBRES3,TUITPL1,TUITPL4,DSTNUGC,DISTCRS,No Match
STUSRV8,SLO8,LIBRES3,LIBRES4,TUITPL2,DSTNUGC,DSTNUGP,DISTNCED,No Match
STUSRV9,SLO81,LIBRES4,LIBRES5,TUITPL3,DSTNUGP,DSTNUGN,DSTNCED1,No Match
LIBRES1,SLO82,LIBRES5,LIBRES6,TUITPL4,DSTNUGN,DSTNGC,DSTNCED2,No Match
LIBRES2,SLO83,LIBRES6,LIBRES9,DSTNUGC,DSTNGC,DSTNGP,DSTNCED3,No Match
LIBRES3,SLOB,LIBRES9,TUITPL,DSTNUGP,DSTNGP,DSTNGN,DISAB,No Match
LIBRES4,SLO9,TUITPL,TUITPL1,DSTNUGN,DSTNGN,DISTCRS,XDISABPC,No Match
LIBRES5,YRSCOLL,TUITPL1,TUITPL2,DSTNGC,DISTCRS,DISTPGS,DISABPCT,No Match
LIBRES6,STUSRV2,TUITPL2,TUITPL3,DSTNGP,DISTPGS,DSTNCED1,ALLONCAM,No Match
LIBRES9,STUSRV3,TUITPL3,TUITPL4,DSTNGN,DSTNCED1,DSTNCED2,TUITVARY,No Match
TUITPL,STUSRV4,TUITPL4,DSTNUGC,DISTCRS,DSTNCED2,DSTNCED3,ROOM,No Match
TUITPL1,STUSRV8,DSTNUGC,DSTNUGP,DISTPGS,DSTNCED3,DISTNCED,XROOMCAP,No Match
TUITPL2,STUSRV9,DSTNUGP,DSTNUGN,DSTNCED1,DISTNCED,DISAB,ROOMCAP,No Match
TUITPL3,LIBRES1,DSTNUGN,DSTNGC,DSTNCED2,DISAB,XDISABPC,BOARD,No Match
TUITPL4,LIBRES2,DSTNGC,DSTNGP,DSTNCED3,XDISABPC,DISABPCT,XMEALSWK,No Match
PRMPGM,LIBRES3,DSTNGP,DSTNGN,DISTNCED,DISABPCT,ALLONCAM,MEALSWK,No Match
DSTNUGC,LIBRES4,DSTNGN,DISTCRS,DISAB,ALLONCAM,TUITVARY,XROOMAMT,No Match
DSTNUGP,LIBRES5,DISTCRS,DISTPGS,XDISABPC,TUITVARY,ROOM,ROOMAMT,No Match
DSTNUGN,LIBRES6,DISTPGS,DSTNCED1,DISABPCT,ROOM,XROOMCAP,XBORDAMT,No Match
DSTNGC,LIBRES9,DSTNCED1,DSTNCED2,ALLONCAM,XROOMCAP,ROOMCAP,BOARDAMT,No Match
DSTNGP,TUITPL,DSTNCED2,DSTNCED3,TUITVARY,ROOMCAP,BOARD,XRMBDAMT,No Match
DSTNGN,TUITPL1,DSTNCED3,DISTNCED,ROOM,BOARD,XMEALSWK,RMBRDAMT,No Match
DISTCRS,TUITPL2,DISTNCED,DISAB,XROOMCAP,XMEALSWK,MEALSWK,XAPPFEEU,No Match
DISTPGS,TUITPL3,DISAB,XDISABPC,ROOMCAP,MEALSWK,XROOMAMT,APPLFEEU,No Match
DSTNCED1,TUITPL4,XDISABPC,DISABPCT,BOARD,XROOMAMT,ROOMAMT,XAPPFEEG,No Match
DSTNCED2,PRMPGM,DISABPCT,ALLONCAM,XMEALSWK,ROOMAMT,XBORDAMT,APPLFEEG,No Match
DSTNCED3,DSTNUGC,ALLONCAM,TUITVARY,MEALSWK,XBORDAMT,BOARDAMT,ATHASSOC,No Match
DISTNCED,DSTNUGP,TUITVARY,ROOM,XROOMAMT,BOARDAMT,XRMBDAMT,ASSOC1,No Match
DISAB,DSTNUGN,ROOM,XROOMCAP,ROOMAMT,XRMBDAMT,RMBRDAMT,ASSOC2,No Match
XDISABPC,DSTNGC,XROOMCAP,ROOMCAP,XBORDAMT,RMBRDAMT,XAPPFEEU,ASSOC3,No Match
DISABPCT,DSTNGP,ROOMCAP,BOARD,BOARDAMT,XAPPFEEU,APPLFEEU,ASSOC4,No Match
ALLONCAM,DSTNGN,BOARD,XMEALSWK,XRMBDAMT,APPLFEEU,XAPPFEEG,ASSOC5,No Match
TUITVARY,DISTCRS,XMEALSWK,MEALSWK,RMBRDAMT,XAPPFEEG,APPLFEEG,ASSOC6,No Match
ROOM,DISTPGS,MEALSWK,XROOMAMT,XAPPFEEU,APPLFEEG,ATHASSOC,SPORT1,No Match
XROOMCAP,DSTNCED1,XROOMAMT,ROOMAMT,APPLFEEU,ATHASSOC,ASSOC1,CONFNO1,No Match
ROOMCAP,DSTNCED2,ROOMAMT,XBORDAMT,XAPPFEEG,ASSOC1,ASSOC2,SPORT2,No Match
BOARD,DSTNCED3,XBORDAMT,BOARDAMT,APPLFEEG,ASSOC2,ASSOC3,CONFNO2,No Match
XMEALSWK,DISTNCED,BOARDAMT,XRMBDAMT,ATHASSOC,ASSOC3,ASSOC4,SPORT3,No Match
MEALSWK,DISAB,XRMBDAMT,RMBRDAMT,ASSOC1,ASSOC4,ASSOC5,CONFNO3,No Match
XROOMAMT,XDISABPC,RMBRDAMT,XAPPFEEU,ASSOC2,ASSOC5,ASSOC6,SPORT4,No Match
ROOMAMT,DISABPCT,XAPPFEEU,APPLFEEU,ASSOC3,ASSOC6,SPORT1,CONFNO4 ,No Match
XBORDAMT,ALLONCAM,APPLFEEU,XAPPFEEG,ASSOC4,SPORT1,CONFNO1,UNITID,No Match
BOARDAMT,TUITVARY,XAPPFEEG,APPLFEEG,ASSOC5,CONFNO1,SPORT2,XTUIT1,No Match
XRMBDAMT,ROOM,APPLFEEG,ATHASSOC,ASSOC6,SPORT2,CONFNO2,TUITION1,No Match
RMBRDAMT,XROOMCAP,ATHASSOC,ASSOC1,SPORT1,CONFNO2,SPORT3,XFEE1,No Match
XAPPFEEU,ROOMCAP,ASSOC1,ASSOC2,CONFNO1,SPORT3,CONFNO3,FEE1,No Match
APPLFEEU,BOARD,ASSOC2,ASSOC3,SPORT2,CONFNO3,SPORT4,XHRCHG1,No Match
XAPPFEEG,XMEALSWK,ASSOC3,ASSOC4,CONFNO2,SPORT4,CONFNO4 ,HRCHG1,No Match
APPLFEEG,MEALSWK,ASSOC4,ASSOC5,SPORT3,CONFNO4 ,UNITID,XTUIT2,No Match
ATHASSOC,XROOMAMT,ASSOC5,ASSOC6,CONFNO3,UNITID,XTUIT1,TUITION2,No Match
ASSOC1,ROOMAMT,ASSOC6,SPORT1,SPORT4,XTUIT1,TUITION1,XFEE2,No Match
ASSOC2,XBORDAMT,SPORT1,CONFNO1,CONFNO4 ,TUITION1,XFEE1,FEE2,No Match
ASSOC3,BOARDAMT,CONFNO1,SPORT2,UNITID,XFEE1,FEE1,XHRCHG2,No Match
ASSOC4,XRMBDAMT,SPORT2,CONFNO2,XTUIT1,FEE1,XHRCHG1,HRCHG2,No Match
ASSOC5,RMBRDAMT,CONFNO2,SPORT3,TUITION1,XHRCHG1,HRCHG1,XTUIT3,No Match
ASSOC6,XAPPFEEU,SPORT3,CONFNO3,XFEE1,HRCHG1,XTUIT2,TUITION3,No Match
SPORT1,APPLFEEU,CONFNO3,SPORT4,FEE1,XTUIT2,TUITION2,XFEE3,No Match
CONFNO1,XAPPFEEG,SPORT4,CONFNO4 ,XHRCHG1,TUITION2,XFEE2,FEE3,No Match
SPORT2,APPLFEEG,CONFNO4 ,UNITID,HRCHG1,XFEE2,FEE2,XHRCHG3,No Match
CONFNO2,ATHASSOC,UNITID,XTUIT1,XTUIT2,FEE2,XHRCHG2,HRCHG3,No Match
SPORT3,ASSOC1,XTUIT1,TUITION1,TUITION2,XHRCHG2,HRCHG2,XTUIT5,No Match
CONFNO3,ASSOC2,TUITION1,XFEE1,XFEE2,HRCHG2,XTUIT3,TUITION5,No Match
SPORT4,ASSOC3,XFEE1,FEE1,FEE2,XTUIT3,TUITION3,XFEE5,No Match
CONFNO4 ,ASSOC4,FEE1,XHRCHG1,XHRCHG2,TUITION3,XFEE3,FEE5,No Match
UNITID,ASSOC5,XHRCHG1,HRCHG1,HRCHG2,XFEE3,FEE3,XHRCHG5,No Match
XTUIT1,ASSOC6,HRCHG1,XTUIT2,XTUIT3,FEE3,XHRCHG3,HRCHG5,No Match
TUITION1,SPORT1,XTUIT2,TUITION2,TUITION3,XHRCHG3,HRCHG3,XTUIT6,No Match
XFEE1,CONFNO1,TUITION2,XFEE2,XFEE3,HRCHG3,XTUIT5,TUITION6,No Match
FEE1,SPORT2,XFEE2,FEE2,FEE3,XTUIT5,TUITION5,XFEE6,No Match
XHRCHG1,CONFNO2,FEE2,XHRCHG2,XHRCHG3,TUITION5,XFEE5,FEE6,No Match
HRCHG1,SPORT3,XHRCHG2,HRCHG2,HRCHG3,XFEE5,FEE5,XHRCHG6,No Match
XTUIT2,CONFNO3,HRCHG2,XTUIT3,XTUIT5,FEE5,XHRCHG5,HRCHG6,No Match
TUITION2,SPORT4,XTUIT3,TUITION3,TUITION5,XHRCHG5,HRCHG5,XTUIT7,No Match
XFEE2,CONFNO4 ,TUITION3,XFEE3,XFEE5,HRCHG5,XTUIT6,TUITION7,No Match
FEE2,UNITID,XFEE3,FEE3,FEE5,XTUIT6,TUITION6,XFEE7,No Match
XHRCHG2,XTUIT1,FEE3,XHRCHG3,XHRCHG5,TUITION6,XFEE6,FEE7,No Match
HRCHG2,TUITION1,XHRCHG3,HRCHG3,HRCHG5,XFEE6,FEE6,XHRCHG7,No Match
XTUIT3,XFEE1,HRCHG3,XTUIT5,XTUIT6,FEE6,XHRCHG6,HRCHG7,No Match
TUITION3,FEE1,XTUIT5,TUITION5,TUITION6,XHRCHG6,HRCHG6,XISPRO1,No Match
XFEE3,XHRCHG1,TUITION5,XFEE5,XFEE6,HRCHG6,XTUIT7,ISPROF1,No Match
FEE3,HRCHG1,XFEE5,FEE5,FEE6,XTUIT7,TUITION7,XISPFE1,No Match
XHRCHG3,XTUIT2,FEE5,XHRCHG5,XHRCHG6,TUITION7,XFEE7,ISPFEE1,No Match
HRCHG3,TUITION2,XHRCHG5,HRCHG5,HRCHG6,XFEE7,FEE7,XOSPRO1,No Match
XTUIT5,XFEE2,HRCHG5,XTUIT6,XTUIT7,FEE7,XHRCHG7,OSPROF1,No Match
TUITION5,FEE2,XTUIT6,TUITION6,TUITION7,XHRCHG7,HRCHG7,XOSPFE1,No Match
XFEE5,XHRCHG2,TUITION6,XFEE6,XFEE7,HRCHG7,XISPRO1,OSPFEE1,No Match
FEE5,HRCHG2,XFEE6,FEE6,FEE7,XISPRO1,ISPROF1,XISPRO2,No Match
XHRCHG5,XTUIT3,FEE6,XHRCHG6,XHRCHG7,ISPROF1,XISPFE1,ISPROF2,No Match
HRCHG5,TUITION3,XHRCHG6,HRCHG6,HRCHG7,XISPFE1,ISPFEE1,XISPFE2,No Match
XTUIT6,XFEE3,HRCHG6,XTUIT7,XISPRO1,ISPFEE1,XOSPRO1,ISPFEE2,No Match
TUITION6,FEE3,XTUIT7,TUITION7,ISPROF1,XOSPRO1,OSPROF1,XOSPRO2,No Match
XFEE6,XHRCHG3,TUITION7,XFEE7,XISPFE1,OSPROF1,XOSPFE1,OSPROF2,No Match
FEE6,HRCHG3,XFEE7,FEE7,ISPFEE1,XOSPFE1,OSPFEE1,XOSPFE2,No Match
XHRCHG6,XTUIT5,FEE7,XHRCHG7,XOSPRO1,OSPFEE1,XISPRO2,OSPFEE2,No Match
HRCHG6,TUITION5,XHRCHG7,HRCHG7,OSPROF1,XISPRO2,ISPROF2,XISPRO3,No Match
XTUIT7,XFEE5,HRCHG7,XISPRO1,XOSPFE1,ISPROF2,XISPFE2,ISPROF3,No Match
TUITION7,FEE5,XISPRO1,ISPROF1,OSPFEE1,XISPFE2,ISPFEE2,XISPFE3,No Match
XFEE7,XHRCHG5,ISPROF1,XISPFE1,XISPRO2,ISPFEE2,XOSPRO2,ISPFEE3,No Match
FEE7,HRCHG5,XISPFE1,ISPFEE1,ISPROF2,XOSPRO2,OSPROF2,XOSPRO3,No Match
XHRCHG7,XTUIT6,ISPFEE1,XOSPRO1,XISPFE2,OSPROF2,XOSPFE2,OSPROF3,No Match
HRCHG7,TUITION6,XOSPRO1,OSPROF1,ISPFEE2,XOSPFE2,OSPFEE2,XOSPFE3,No Match
XISPRO1,XFEE6,OSPROF1,XOSPFE1,XOSPRO2,OSPFEE2,XISPRO3,OSPFEE3,No Match
ISPROF1,FEE6,XOSPFE1,OSPFEE1,OSPROF2,XISPRO3,ISPROF3,XISPRO4,No Match
XISPFE1,XHRCHG6,OSPFEE1,XISPRO2,XOSPFE2,ISPROF3,XISPFE3,ISPROF4,No Match
ISPFEE1,HRCHG6,XISPRO2,ISPROF2,OSPFEE2,XISPFE3,ISPFEE3,XISPFE4,No Match
XOSPRO1,XTUIT7,ISPROF2,XISPFE2,XISPRO3,ISPFEE3,XOSPRO3,ISPFEE4,No Match
OSPROF1,TUITION7,XISPFE2,ISPFEE2,ISPROF3,XOSPRO3,OSPROF3,XOSPRO4,No Match
XOSPFE1,XFEE7,ISPFEE2,XOSPRO2,XISPFE3,OSPROF3,XOSPFE3,OSPROF4,No Match
OSPFEE1,FEE7,XOSPRO2,OSPROF2,ISPFEE3,XOSPFE3,OSPFEE3,XOSPFE4,No Match
XISPRO2,XHRCHG7,OSPROF2,XOSPFE2,XOSPRO3,OSPFEE3,XISPRO4,OSPFEE4,No Match
ISPROF2,HRCHG7,XOSPFE2,OSPFEE2,OSPROF3,XISPRO4,ISPROF4,XISPRO5,No Match
XISPFE2,XISPRO1,OSPFEE2,XISPRO3,XOSPFE3,ISPROF4,XISPFE4,ISPROF5,No Match
ISPFEE2,ISPROF1,XISPRO3,ISPROF3,OSPFEE3,XISPFE4,ISPFEE4,XISPFE5,No Match
XOSPRO2,XISPFE1,ISPROF3,XISPFE3,XISPRO4,ISPFEE4,XOSPRO4,ISPFEE5,No Match
OSPROF2,ISPFEE1,XISPFE3,ISPFEE3,ISPROF4,XOSPRO4,OSPROF4,XOSPRO5,No Match
XOSPFE2,XOSPRO1,ISPFEE3,XOSPRO3,XISPFE4,OSPROF4,XOSPFE4,OSPROF5,No Match
OSPFEE2,OSPROF1,XOSPRO3,OSPROF3,ISPFEE4,XOSPFE4,OSPFEE4,XOSPFE5,No Match
XISPRO3,XOSPFE1,OSPROF3,XOSPFE3,XOSPRO4,OSPFEE4,XISPRO5,OSPFEE5,No Match
ISPROF3,OSPFEE1,XOSPFE3,OSPFEE3,OSPROF4,XISPRO5,ISPROF5,XISPRO6,No Match
XISPFE3,XISPRO2,OSPFEE3,XISPRO4,XOSPFE4,ISPROF5,XISPFE5,ISPROF6,No Match
ISPFEE3,ISPROF2,XISPRO4,ISPROF4,OSPFEE4,XISPFE5,ISPFEE5,XISPFE6,No Match
XOSPRO3,XISPFE2,ISPROF4,XISPFE4,XISPRO5,ISPFEE5,XOSPRO5,ISPFEE6,No Match
OSPROF3,ISPFEE2,XISPFE4,ISPFEE4,ISPROF5,XOSPRO5,OSPROF5,XOSPRO6,No Match
XOSPFE3,XOSPRO2,ISPFEE4,XOSPRO4,XISPFE5,OSPROF5,XOSPFE5,OSPROF6,No Match
